global_auroc,brct_auroc,ring_auroc,other_auroc,poison_fraction,trial,target_domain,flip_direction,n_flipped
0.8408507965988465,0.7729415858545688,0.8210878675343259,0.9710224715873729,0.5,3,BRCT,lof_to_func,194
0.8416286805735322,0.7804574933463856,0.8102194133078943,0.9693612784006588,0.5,4,BRCT,lof_to_func,194
0.8436418753120044,0.7755705283122762,0.8225614118769378,0.9706873605698803,0.5,5,BRCT,lof_to_func,194
0.8500514497457232,0.7923058980085044,0.8205512589008892,0.9679394502264392,0.5,6,BRCT,lof_to_func,194
0.8471923169528311,0.7843177368533758,0.8216500289598311,0.9690884022864147,0.5,7,BRCT,lof_to_func,194
0.847457210997367,0.7844898130869712,0.8189073626111547,0.9706490621678812,0.5,8,BRCT,lof_to_func,194
0.8428381480159005,0.7749873810762029,0.8211900787025997,0.9703953352546365,0.5,9,BRCT,lof_to_func,194
0.740390914694211,0.584330738168803,0.80625873053729,0.9710320461878728,1.0,0,BRCT,lof_to_func,388
0.7386869783687093,0.5787898834470311,0.8055347347620183,0.969629367214653,1.0,1,BRCT,lof_to_func,388
0.7413703765759581,0.5789963749273457,0.8140523321181561,0.9711708778951199,1.0,2,BRCT,lof_to_func,388
0.7427577322140877,0.5803997522102237,0.8179704269019795,0.970371398753387,1.0,3,BRCT,lof_to_func,388
0.743933172616589,0.5855811587995962,0.8135668290688562,0.9716639698208591,1.0,4,BRCT,lof_to_func,388
0.7429606022872202,0.5827399889871211,0.8139841913393071,0.9700075639343948,1.0,5,BRCT,lof_to_func,388
0.7416413007288247,0.5781704090060876,0.8168205512589007,0.9694330879044072,1.0,6,BRCT,lof_to_func,388
0.7419893241239222,0.5817878338278932,0.8117270280399305,0.9704384209568856,1.0,7,BRCT,lof_to_func,388
0.7438164469481837,0.5835965462387959,0.8177404517733637,0.9702229924456403,1.0,8,BRCT,lof_to_func,388
0.7432496167650795,0.5839005475848145,0.8139501209498824,0.9703618241528872,1.0,9,BRCT,lof_to_func,388
